,shootID,Scoring DriveFGPCT,Scoring CatchShootFGPCT,Scoring PullUpFGPCT,Scoring ITPFGPCT,Scoring PostFGPCT,Scoring ElbowFGPCT
463,203933,0.474,0.436,0.452,0.715,0.391,0.596
464,1629605,0.0,0.0,0.0,0.9,0.5,0.0
465,201959,0.333,0.429,0.4,0.676,0.645,0.466
466,1629659,0.583,0.286,0.286,0.5,0.0,1.0
467,1629745,0.0,0.0,0.0,0.5,0.0,0.0
468,1627752,0.387,0.348,0.323,0.538,0.0,0.786
469,1629611,0.5,0.294,0.333,0.5,0.0,0.667
470,1629056,0.462,0.415,0.284,0.722,1.0,0.455
471,1628390,0.476,0.311,0.385,0.818,0.0,1.0
472,203082,0.402,0.375,0.352,0.667,0.0,0.512
473,1626179,0.41,0.451,0.356,0.581,0.0,0.429
474,200757,0.5,0.283,0.333,0.667,0.0,0.333
475,201152,0.371,0.366,0.271,0.585,0.478,0.479
476,203648,0.5,0.0,0.25,0.714,0.0,1.0
477,1629033,0.365,0.184,0.2,0.6,0.0,0.0
478,1628418,0.429,0.442,0.308,0.724,0.429,0.633
479,1627748,0.5,0.368,0.364,0.594,0.667,0.435
480,204025,0.346,0.471,0.273,0.833,0.0,0.5
481,203501,0.46,0.417,0.412,0.629,0.25,0.667
482,1627789,0.353,0.397,0.348,0.632,0.0,0.625
483,202699,0.502,0.393,0.384,0.612,0.553,0.574
484,203107,0.455,0.331,0.417,0.571,0.25,0.563
485,1628396,1.0,1.0,0.5,0.669,0.571,0.667
486,203503,0.583,0.375,0.492,0.429,0.0,0.8
487,1628470,0.235,0.321,0.316,0.75,0.0,0.6
488,1629027,0.504,0.473,0.384,0.769,0.0,0.714
489,1629682,0.25,0.091,0.273,1.0,0.0,0.0
490,1626203,0.423,0.259,0.333,0.514,0.0,0.6
491,2772,0.304,0.372,0.278,0.815,0.5,0.7
492,203504,0.518,0.39,0.442,0.4,0.0,1.0
493,1626168,0.522,0.386,0.447,0.529,1.0,0.538
494,202684,0.413,0.222,0.25,0.589,0.483,0.411
495,1628972,0.44,0.39,0.309,0.6,0.333,0.6
496,203584,0.556,0.379,0.382,0.5,0.0,0.667
497,1629660,0.341,0.262,0.4,0.75,0.0,1.0
498,1629076,0.0,0.0,0.0,0.6,0.5,0.0
499,1629639,0.467,0.447,0.379,0.647,0.0,0.556
500,204020,0.395,0.347,0.414,0.462,1.0,0.2
501,203092,0.0,0.0,0.0,0.25,0.0,0.0
502,1627820,0.294,0.0,0.222,1.0,0.0,0.0
503,2199,0.0,0.0,0.0,0.867,0.0,0.5
504,1626145,0.435,0.463,0.439,0.75,0.0,0.667
505,2617,0.0,0.25,0.0,0.25,0.0,0.5
506,1629724,1.0,0.125,0.6,0.0,0.0,0.0
507,203506,0.397,0.286,0.398,0.6,0.0,0.5
508,1713,0.383,0.286,0.444,0.556,0.6,0.375
509,1629738,0.2,0.364,0.0,0.688,0.5,0.2
510,1628427,0.667,0.143,0.0,0.6,0.0,0.5
511,201961,0.167,0.364,0.291,0.6,0.0,0.0
512,1628976,0.533,0.329,0.308,0.602,0.486,0.414
513,1629117,0.286,0.353,0.333,0.714,1.0,0.0
514,1628411,0.468,0.315,0.377,0.444,0.0,0.857
515,202083,0.333,0.379,0.31,0.724,0.286,0.778
516,203115,0.425,0.405,0.402,0.603,0.0,0.667
517,1629739,0.0,0.0,0.0,0.0,0.0,0.0
518,1626161,0.429,0.2,0.25,0.663,0.371,0.467
519,1626195,0.6,0.292,0.286,0.686,0.391,0.45
520,201163,0.585,0.319,0.421,0.5,0.0,0.6
521,1627812,0.442,0.4,0.396,0.0,1.0,1.0
522,1629139,0.5,0.375,0.333,0.2,0.0,0.25
523,1628380,0.0,0.409,0.0,0.548,0.455,0.0
524,203897,0.454,0.402,0.35,0.7,0.333,0.679
525,1629668,0.0,0.3,0.0,0.0,0.0,0.0
526,1629015,0.0,0.0,0.0,0.5,0.0,0.0
527,1629627,0.429,0.167,0.556,0.684,0.492,0.614
528,1629597,0.0,0.0,0.0,0.75,0.0,0.0
