,shootID,Scoring DriveFGPCT,Scoring CatchShootFGPCT,Scoring PullUpFGPCT,Scoring ITPFGPCT,Scoring PostFGPCT,Scoring ElbowFGPCT
105,202722,0.431,0.419,0.386,0.625,0.0,0.583
106,1628368,0.496,0.316,0.376,0.692,0.0,0.556
107,1629631,0.414,0.394,0.329,0.625,0.615,0.611
108,1629001,0.371,0.319,0.28,0.615,0.0,0.765
109,201599,0.4,0.333,0.0,0.683,0.5,0.607
110,1627761,0.462,0.25,0.353,0.703,0.0,0.625
111,201942,0.567,0.451,0.444,0.636,0.457,0.538
112,201960,0.471,0.259,0.273,0.333,0.0,0.0
113,1629731,0.0,0.5,0.0,0.857,0.0,0.0
114,1629028,0.5,0.394,0.313,0.618,0.441,0.427
115,1627749,0.441,0.408,0.437,0.533,0.0,0.643
116,1626153,0.472,0.341,0.313,0.575,0.0,0.583
117,203471,0.499,0.445,0.404,0.714,0.0,1.0
118,1628372,0.368,0.286,0.245,0.7,0.0,0.0
119,1627756,0.426,0.365,0.444,0.5,0.0,1.0
120,1629126,0.447,0.184,0.231,0.636,0.0,0.667
121,202324,0.5,0.372,0.286,0.676,0.647,0.519
122,1627884,0.458,0.277,0.15,0.754,0.0,0.696
123,201565,0.564,0.431,0.38,0.538,0.0,0.571
124,1628476,0.667,0.407,0.556,1.0,0.0,1.0
125,1628401,0.51,0.382,0.4,0.682,1.0,0.7
126,1626164,0.514,0.402,0.42,0.695,0.568,0.614
127,1628985,0.125,0.3,0.091,0.0,0.0,0.0
128,1629719,0.0,0.0,0.0,0.6,1.0,0.0
129,1628984,0.346,0.42,0.357,0.5,0.0,0.8
130,1629608,0.333,0.5,0.0,0.4,0.0,0.0
131,203473,0.0,0.231,0.5,0.577,0.538,0.636
132,1628415,0.415,0.38,0.39,0.548,0.4,0.522
133,203079,0.576,0.367,0.324,0.0,0.0,0.0
134,1627734,0.587,0.39,0.435,0.623,0.5,0.584
135,1628378,0.475,0.429,0.41,0.763,0.0,0.625
136,1629743,1.0,0.0,1.0,0.625,0.0,0.5
137,1628978,0.557,0.355,0.336,0.563,0.0,0.714
138,1627827,0.481,0.384,0.257,0.606,1.0,0.8
139,203926,0.532,0.429,0.357,0.71,0.0,0.778
140,1627733,0.455,0.349,0.0,0.536,0.75,0.714
141,203110,0.415,0.305,0.25,0.629,0.407,0.471
142,1629234,0.75,0.4,0.5,0.688,0.444,0.714
143,1629130,0.609,0.459,0.355,0.818,1.0,1.0
144,1628605,0.333,0.5,0.5,0.0,0.0,0.0
145,1628407,0.39,0.348,0.257,0.556,0.5,0.375
146,2730,0.667,0.667,0.0,0.746,0.643,0.5
147,203939,0.605,0.244,0.0,0.782,0.5,0.667
148,1629058,0.396,0.271,0.214,0.611,0.0,0.5
149,202734,0.477,0.407,0.294,0.586,1.0,0.692
150,202334,0.0,1.0,0.0,0.531,1.0,0.214
151,1628410,0.388,0.277,0.176,0.625,0.0,1.0
152,203901,0.444,0.22,0.306,0.655,0.0,0.6
153,1629059,0.424,0.432,0.218,0.4,0.0,0.667
154,1626144,0.494,0.356,0.463,0.75,0.0,0.333
155,202683,0.333,0.333,0.0,0.629,0.538,0.478
156,202339,0.556,0.299,0.39,0.529,0.333,0.444
157,201569,0.474,0.284,0.35,0.4,0.5,0.8
158,1628450,0.0,1.0,0.0,1.0,0.0,1.0
159,1629672,0.482,0.344,0.402,0.629,0.582,0.447
160,101141,0.421,0.406,0.409,0.566,0.286,0.385
161,203095,0.509,0.43,0.406,0.64,0.5,0.583
162,202323,0.405,0.167,0.29,0.75,0.5,1.0
163,1628402,0.419,0.33,0.394,0.583,0.0,0.833
164,1626163,0.643,0.336,0.267,0.544,0.565,0.45
165,1628412,0.429,0.25,0.438,1.0,0.0,1.0
166,1628373,0.426,0.358,0.343,0.667,0.0,0.8
167,1627832,0.371,0.437,0.315,0.6,0.0,0.333
168,1627788,0.474,0.44,0.305,0.536,0.0,0.5
169,1629216,0.25,0.154,0.143,0.0,0.0,0.0
170,202066,0.409,0.347,0.319,0.4,0.0,0.6
171,1629726,0.5,0.375,0.615,0.0,0.0,0.0
172,1629109,0.429,0.368,0.25,0.7,0.0,0.0
173,203914,0.385,0.38,0.343,0.652,0.0,0.688
174,1627780,0.333,0.295,0.5,0.448,0.0,1.0
175,1629018,0.417,0.422,0.405,0.571,0.667,0.5
176,201588,0.5,0.486,0.389,0.706,0.0,0.818
177,1627777,0.525,0.402,0.353,0.714,1.0,0.4
178,203507,0.598,0.368,0.333,0.687,0.58,0.573
179,203922,0.443,0.434,0.394,0.667,0.667,0.556
180,1629048,0.0,0.364,0.111,0.636,0.3,0.559
181,201609,0.488,0.37,0.409,0.676,0.6,0.769
182,202330,0.522,0.411,0.459,0.57,0.167,0.558
183,203476,0.568,0.381,0.263,0.558,0.286,0.615
184,1629684,0.467,0.27,0.222,0.614,0.5,0.438
185,1628960,0.528,0.443,0.344,0.6,0.0,0.5
186,1628977,0.414,0.321,0.278,0.554,0.333,0.588
187,203084,0.462,0.366,0.358,0.618,0.448,0.406
188,1628385,0.55,0.403,0.462,0.69,0.318,0.5
189,202355,0.545,0.455,0.324,0.695,0.532,0.605
190,1627740,0.0,0.0,0.0,0.5,0.0,0.0
191,101133,0.5,0.226,0.0,0.5,0.5,0.537
192,1629649,0.5,0.111,0.0,0.0,0.0,0.0
193,202697,0.0,0.28,0.269,0.571,0.0,0.333
194,1629067,0.522,0.382,0.154,0.667,0.0,0.643
195,1628392,1.0,0.0,0.0,0.714,0.0,0.833
196,1629676,0.0,0.0,0.0,0.0,0.0,0.0
197,202738,0.4,0.467,0.399,0.75,0.0,1.0
198,202397,0.48,0.368,0.411,0.889,0.0,0.5
199,1627826,0.5,0.5,0.75,0.616,0.391,0.64
200,200826,0.436,0.4,0.366,1.0,0.0,1.0
201,1629122,0.0,0.0,0.0,0.0,0.0,0.0
202,200755,0.333,0.478,0.417,0.786,0.0,0.6
203,2747,0.625,0.125,0.375,0.0,0.0,0.0
204,1629630,0.484,0.362,0.379,0.682,0.0,0.818
205,203960,0.667,0.217,0.4,0.727,1.0,0.48
206,203210,0.333,0.387,0.471,0.493,0.438,0.667
207,201580,0.529,0.667,0.25,0.705,0.28,0.588
208,203953,0.567,0.283,0.244,0.737,0.636,0.559
209,1628980,0.194,0.351,0.343,0.667,0.0,0.25
210,203109,0.343,0.328,0.363,0.795,0.5,0.636
211,1626143,0.476,0.4,0.556,0.677,0.55,0.583
212,1627774,0.439,0.355,0.394,0.727,0.25,0.8
213,1627751,0.45,0.583,1.0,0.636,0.5,0.697
214,1628973,0.537,0.446,0.396,0.6,0.0,0.5
215,1629665,0.667,0.0,0.333,0.0,0.0,0.0
216,1629667,0.429,0.4,0.286,0.6,0.667,0.5
217,2037,0.0,0.5,0.5,0.0,0.0,0.0
218,1627750,0.467,0.377,0.414,0.66,0.75,0.565
219,203516,0.298,0.327,0.375,0.613,1.0,0.733
220,201935,0.557,0.396,0.347,0.581,0.3,0.4
221,201949,0.542,0.391,0.282,0.733,0.25,0.3
222,201162,0.143,0.442,0.25,0.5,0.5,0.5
223,1629607,0.5,0.0,0.0,0.0,0.0,0.0
224,1628991,0.488,0.409,0.315,0.657,0.479,0.591
225,1629020,0.0,0.0,0.0,0.667,0.0,0.0
226,1629714,0.125,0.167,0.333,0.667,0.0,1.0
227,1628386,0.563,0.143,0.0,0.688,0.5,0.615
228,1629633,0.388,0.304,0.301,0.633,0.6,0.444
229,1627784,0.0,0.545,0.0,0.333,0.5,0.667
230,1629750,0.515,0.333,0.357,0.484,0.0,0.636
231,1629637,0.667,0.25,0.0,0.697,0.0,0.683
232,1627759,0.488,0.422,0.379,0.622,0.545,0.548
233,1629658,0.5,0.0,0.0,0.5,0.0,0.5
234,1629669,0.667,0.056,0.333,0.5,0.0,0.6
235,1628369,0.466,0.397,0.4,0.482,0.34,0.528
236,201145,0.512,0.364,0.25,0.652,0.143,0.667
237,201952,0.438,0.333,0.398,0.5,0.333,0.0
238,203924,0.496,0.398,0.308,0.652,0.523,0.538
239,1629725,0.593,0.3,0.316,0.0,0.0,0.0
240,203087,0.528,0.373,0.435,0.686,0.0,0.636
241,202951,0.6,0.5,0.455,1.0,0.0,0.0
242,1626170,0.385,0.167,0.3,0.0,0.0,0.0
243,1629010,0.431,0.353,0.349,0.667,0.0,0.6
244,1628975,0.378,0.419,0.448,0.333,0.0,0.5
245,202710,0.43,0.317,0.305,0.612,0.519,0.667
246,201149,0.0,0.0,0.0,0.6,0.0,0.667
247,1629147,0.0,0.0,0.0,0.0,0.0,0.0
248,203925,0.502,0.449,0.397,0.648,0.0,0.676
249,204060,0.503,0.44,0.351,0.8,0.0,1.0
250,203954,0.472,0.389,0.33,0.657,0.53,0.435
251,1628381,0.577,0.416,0.235,0.699,0.568,0.518
252,203089,0.333,0.22,0.0,0.655,0.375,0.643
253,1629723,0.667,0.444,1.0,0.684,1.0,0.833
254,1628405,1.0,1.0,0.0,0.833,0.5,0.0
255,1629140,0.0,0.2,0.5,0.667,1.0,0.545
256,1628413,0.0,0.0,0.0,0.5,0.0,0.0
257,202685,0.525,0.389,0.378,0.684,0.537,0.647
258,1628371,0.518,0.343,0.413,0.519,0.438,0.435
259,1628395,0.667,0.1,0.444,0.656,0.0,0.364
260,1629648,0.333,0.0,0.2,1.0,0.0,0.0
261,203903,0.517,0.396,0.367,0.733,0.5,0.438
262,1629162,0.585,0.463,0.314,1.0,0.0,1.0
263,203895,0.435,0.387,0.354,0.5,0.0,0.5
264,1629673,0.455,0.288,0.298,0.0,0.0,0.0
265,1627982,0.5,0.0,0.0,0.0,0.0,0.0
266,1628404,0.476,0.359,0.25,0.714,0.0,0.4
267,1628367,0.425,0.382,0.207,0.786,0.0,1.0
268,203705,0.2,0.0,0.333,0.0,0.0,0.0
269,1629006,0.413,0.275,0.289,0.569,0.0,0.5
270,1629729,0.0,0.0,0.0,0.5,0.0,0.0
271,1626196,0.427,0.329,0.46,0.7,0.429,0.55
272,201950,0.479,0.367,0.35,0.65,0.4,0.719
273,1629308,0.429,0.364,0.0,0.667,0.0,0.5
274,1627823,0.286,0.345,0.333,0.549,0.25,0.714
275,203944,0.465,0.316,0.383,0.609,0.516,0.577
276,1626147,0.429,0.222,0.0,1.0,0.0,0.0
277,203200,0.276,0.399,0.4,0.548,0.0,0.333
278,1628382,0.412,0.274,0.367,0.683,1.0,0.8
279,1629713,0.333,0.357,0.304,1.0,1.0,0.0
280,1628383,0.0,0.2,0.0,1.0,0.0,0.0
281,1629620,0.0,0.667,0.25,0.0,0.0,0.0
282,1629625,0.5,0.0,0.333,0.0,0.0,0.0
283,1626159,0.352,0.296,0.31,0.667,0.75,0.667
284,203994,0.429,0.133,0.167,0.5,0.524,0.684
285,1629752,0.0,0.375,0.0,0.571,0.0,0.0
286,1629644,0.0,0.0,0.0,0.5,0.0,0.0
287,1628443,0.474,0.4,0.5,1.0,0.0,1.0
288,1626157,0.563,0.41,0.346,0.669,0.528,0.59
289,202695,0.503,0.411,0.427,0.571,0.427,0.618
290,1628966,0.292,0.337,0.222,0.684,1.0,0.667
291,1629103,0.533,0.244,0.432,0.5,0.0,0.333
292,1629640,0.5,0.65,0.455,0.727,0.0,0.8
293,203482,0.439,0.41,0.378,0.653,0.545,0.52
294,1626162,0.458,0.352,0.449,0.566,1.0,0.553
295,202689,0.477,0.422,0.397,0.462,0.0,0.8
296,1629134,0.488,0.363,0.419,0.636,0.333,0.526
297,1629026,0.313,0.253,0.3,0.6,0.0,1.0
298,203145,0.305,0.368,0.283,0.457,0.5,0.778
299,203484,0.417,0.409,0.385,0.725,0.0,0.643
300,1628987,0.333,0.125,0.375,1.0,0.0,0.0
301,1628989,0.471,0.418,0.366,0.667,1.0,0.7
302,1628995,0.322,0.304,0.341,0.545,0.0,0.4
303,201567,0.5,0.434,0.383,0.589,0.506,0.625
304,1629645,0.419,0.389,0.279,0.846,0.0,0.6
305,1626172,0.455,0.136,0.125,0.531,0.333,0.667
306,203920,0.75,0.125,0.0,0.51,0.429,0.476
307,203114,0.534,0.467,0.482,0.6,0.571,0.5
308,1629017,0.0,0.417,0.0,0.0,0.0,0.0
309,1628961,0.0,0.0,0.0,1.0,0.0,1.0
310,1627739,0.473,0.271,0.217,0.722,0.5,0.75
311,204001,0.294,0.382,0.304,0.68,0.42,0.566
312,1629065,0.411,0.308,0.381,0.571,0.0,1.0
313,1629734,0.0,0.0,0.0,0.5,0.0,0.0
314,203937,0.476,0.341,0.39,0.627,0.5,0.688
315,1629657,0.0,0.0,1.0,1.0,0.0,0.0
316,2594,0.667,0.439,0.429,0.2,0.0,0.5
317,1628398,0.507,0.349,0.299,0.696,0.484,0.592
318,200768,0.544,0.335,0.356,0.538,0.0,0.5
319,203124,0.667,0.303,0.556,0.692,0.2,0.286
320,202681,0.515,0.429,0.428,0.667,1.0,0.833
321,200746,0.316,0.443,0.433,0.648,0.473,0.538
322,202498,0.25,0.375,0.0,0.0,0.0,1.0
323,1629013,0.49,0.384,0.312,0.7,0.0,1.0
324,204038,0.451,0.413,0.407,0.444,0.0,0.692
325,1626204,0.407,0.401,0.314,0.702,0.458,0.549
326,1628374,0.41,0.347,0.278,0.633,0.455,0.647
327,2544,0.549,0.38,0.33,0.683,0.557,0.614
328,1629022,0.384,0.402,0.31,0.565,0.0,0.333
329,1628366,0.339,0.384,0.314,0.738,0.667,1.0
330,101150,0.465,0.417,0.362,0.6,0.0,0.25
331,1629663,0.25,0.364,0.2,1.0,0.0,0.0
332,201601,0.0,0.0,0.0,1.0,0.0,0.0
333,1629652,0.4,0.289,0.273,0.526,0.0,0.625
334,1629029,0.562,0.282,0.335,0.667,0.484,0.7
335,1629677,0.0,0.375,1.0,1.0,0.0,0.0
336,1628379,0.468,0.422,0.393,0.7,0.0,0.333
337,1628436,1.0,0.311,0.091,0.712,1.0,0.5
338,1627763,0.461,0.354,0.412,0.633,0.5,0.722
339,1626259,0.667,0.389,0.4,0.25,0.0,0.0
340,1627736,0.398,0.404,0.391,0.7,0.0,0.667
341,1628370,0.512,0.325,0.3,0.659,0.0,0.25
342,1629005,0.0,0.0,0.0,0.0,0.0,0.0
343,201188,0.429,0.353,0.565,0.615,0.487,0.483
344,201158,0.2,0.396,0.352,0.625,0.0,0.5
345,202694,0.438,0.438,0.427,0.512,0.486,0.548
346,203935,0.396,0.321,0.397,0.459,0.381,0.438
347,1629621,0.0,0.333,0.143,0.0,0.0,0.0
348,1626209,0.543,0.306,0.392,0.435,0.5,0.2
349,1628365,0.485,0.276,0.404,0.652,0.3,0.769
350,202693,0.424,0.391,0.329,0.593,0.484,0.625
351,1629741,0.353,0.365,0.265,0.818,0.0,1.0
352,1629716,0.0,0.0,0.0,0.0,0.0,0.0
353,1627737,0.444,0.245,0.333,0.633,0.447,0.595
354,1628963,0.28,0.263,0.333,0.609,0.25,0.433
355,101107,0.429,0.366,0.278,0.9,0.5,0.667
356,203486,0.368,0.125,0.12,0.766,0.46,0.56
357,1629680,0.462,0.367,0.217,0.536,0.0,0.429
358,1629760,0.5,0.0,0.5,0.0,0.0,0.0
359,1629744,0.444,0.487,0.531,0.6,0.0,0.5
360,203521,0.435,0.243,0.396,0.7,1.0,0.333
361,203090,0.446,0.33,0.462,0.697,0.333,0.286
362,1629622,0.0,0.0,0.0,1.0,0.0,1.0
363,1628467,0.406,0.38,0.318,0.664,0.5,0.719
364,1628982,0.4,0.5,0.375,1.0,0.0,0.5
365,203086,0.706,0.419,0.28,0.72,0.357,0.667
366,1629662,0.0,0.389,0.5,0.8,0.0,1.0
367,203487,0.465,0.306,0.269,0.371,0.0,0.714
368,1626187,0.0,0.19,0.0,1.0,0.0,1.0
369,203077,0.35,0.261,0.125,0.5,0.0,0.2
370,1629008,0.333,0.451,0.383,0.663,0.571,0.647
371,1628969,0.396,0.354,0.431,0.836,0.0,0.818
372,201144,0.401,0.424,0.36,0.364,0.0,0.667
373,203488,0.2,0.384,0.167,0.68,0.5,0.5
374,203118,0.632,0.379,0.357,0.544,0.333,0.5
375,1628970,0.411,0.331,0.284,0.606,0.509,0.5
376,1629011,0.5,1.0,0.0,0.759,0.0,0.6
377,1629671,0.0,0.429,0.25,0.333,0.0,1.0
378,1628964,0.0,0.336,0.455,0.587,0.111,0.37
379,1628420,0.444,0.4,0.424,0.591,0.0,0.615
380,1626149,0.496,0.111,0.328,0.674,0.509,0.561
381,1629021,0.621,0.305,0.333,0.708,0.786,0.529
382,1629650,0.0,0.0,0.0,0.429,0.5,0.333
383,1628539,0.625,0.3,0.6,0.5,0.0,0.0
384,1626167,0.61,0.37,0.409,0.642,0.478,0.492
385,1629642,0.345,0.208,0.5,0.758,0.5,0.714
386,1628513,0.667,0.167,0.444,0.0,0.0,0.0
387,1629675,0.368,0.337,0.167,0.47,0.333,0.528
388,202357,0.496,0.422,0.411,0.575,0.588,0.769
389,203457,0.545,0.306,0.211,0.759,0.0,0.459
390,1629651,0.5,0.25,0.0,0.727,1.0,0.455
391,1629638,0.388,0.404,0.262,0.5,0.0,1.0
392,201587,0.833,0.351,0.2,0.5,0.0,0.0
393,1629740,0.552,0.353,0.457,0.6,0.421,0.611
394,1628430,0.333,0.286,0.0,0.0,0.0,0.0
395,203999,0.563,0.41,0.382,0.717,0.535,0.581
396,202696,0.537,0.394,0.388,0.592,0.483,0.517
397,203943,0.813,0.2,0.0,0.656,0.5,0.556
398,1626181,0.542,0.436,0.323,0.8,0.0,0.545
399,203658,0.0,0.0,0.0,0.568,1.0,0.333
400,1628384,0.485,0.379,0.385,0.713,0.368,0.72
401,1629016,0.548,0.401,0.375,0.464,0.404,0.333
402,1629052,0.0,0.2,0.0,0.75,0.0,1.0
403,203490,0.525,0.396,0.444,0.364,0.0,0.0
404,1628408,0.288,0.273,0.403,0.75,0.0,0.667
405,200782,0.438,0.373,0.348,0.679,0.0,0.615
406,1629023,0.404,0.379,0.333,0.642,0.506,0.61
407,1627783,0.442,0.386,0.325,0.651,0.442,0.689
408,1626192,0.5,0.327,0.25,0.672,0.5,0.625
409,201976,0.475,0.402,0.3,0.545,0.0,1.0
410,1627775,0.37,0.403,0.208,0.583,0.0,0.6
411,202335,0.375,0.378,0.444,0.483,0.714,0.333
412,201988,0.561,0.403,0.369,0.533,0.0,0.333
