,pnrhID,PickNRollHandler Poss,PickNRollHandler PPP,PickNRollHandler FG PCT,PickNRollHandler FT Poss,PickNRollHandler TOV Poss,PickNRollHandler SFF Poss
277,1627774,0.06,0.923,0.385,0.0,0.0,0.0
278,201567,0.024,0.522,0.176,0.087,0.174,0.087
279,203926,0.017,1.1,0.4,0.1,0.0,0.1
280,1629680,0.042,0.786,0.5,0.143,0.286,0.143
281,201145,0.048,0.833,0.2,0.167,0.0,0.167
282,203585,0.068,0.667,0.364,0.133,0.2,0.133
283,1629008,0.045,0.476,0.167,0.095,0.048,0.048
284,202323,0.255,0.4,0.238,0.0,0.16,0.0
285,2738,0.09,0.818,0.444,0.091,0.182,0.091
286,1627863,0.025,0.563,0.308,0.0,0.188,0.0
287,201587,0.198,0.429,0.214,0.048,0.286,0.0
288,2772,0.058,0.667,0.3,0.083,0.167,0.083
289,203516,0.046,0.615,0.3,0.077,0.154,0.077
290,1628035,0.066,0.571,0.333,0.0,0.143,0.0
291,1627820,0.29,0.444,0.25,0.111,0.222,0.0
292,1629659,0.263,0.7,0.375,0.1,0.1,0.1
293,204001,0.014,0.438,0.188,0.063,0.0,0.063
294,1627780,0.072,0.6,0.286,0.1,0.2,0.0
295,1629067,0.058,0.316,0.222,0.053,0.474,0.053
296,1626203,0.052,0.455,0.286,0.091,0.273,0.091
297,1629066,0.05,0.417,0.2,0.0,0.167,0.0
298,1628997,0.11,0.417,0.182,0.0,0.083,0.0
299,1627884,0.023,0.4,0.125,0.1,0.1,0.1
300,202697,0.192,0.267,0.111,0.067,0.333,0.067
301,1629185,0.256,0.0,0.0,0.0,0.182,0.0
