,Player ID,Scoring percentPTS2PT_MR,Scoring percentPTS3PT,Scoring percentPTSFBPs,Scoring percentPTSFT,Scoring percentPTSOffTO,Scoring percentPTSPITP,Scoring 2FGMpercentAST,Scoring 3FGMpercentAST,Scoring FGMpercentAST,Scoring DriveFGPCT,Scoring CatchShootFGPCT,Scoring PullUpFGPCT,Scoring ITPFGPCT,Scoring PostFGPCT,Scoring ElbowFGPCT,Scoring RA FGPCT,Scoring ITP(NonRA) FGPCT,Scoring MR FGPCT,Scoring LC3 FGPCT,Scoring RC3 FGPCT,Scoring ATB3 FGPCT,Scoring Backcourt3 FGPCT,Scoring Corner FGPCT
22,1627741.0,13.6,56.4,15.2,8.4,16.0,21.6,40.7,70.5,56.1,100.0,71.39999999999999,0.0,63.6,43.8,55.00000000000001,60.9,47.4,57.099999999999994,0.0,0.0,0.0,0.0,0.0
23,1626224.0,4.1,51.0,14.3,7.7,13.2,37.1,53.3,89.9,69.9,46.800000000000004,35.3,36.0,70.89999999999999,45.2,59.3,73.5,40.1,34.9,53.6,26.700000000000003,30.8,0.0,44.2
24,101108.0,23.8,28.1,7.8,20.6,14.1,27.4,14.1,34.1,19.5,22.2,33.6,58.3,50.0,0.0,40.0,39.1,42.9,57.099999999999994,50.0,40.0,30.2,0.0,43.6
25,1629012.0,10.1,20.2,14.4,16.6,12.9,53.1,25.4,76.4,34.4,60.0,0.0,33.300000000000004,0.0,0.0,0.0,37.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0
26,202709.0,15.7,34.8,9.3,11.3,17.1,38.3,17.2,90.0,39.1,50.0,14.299999999999999,100.0,59.199999999999996,80.0,43.3,72.89999999999999,40.5,8.3,0.0,0.0,0.0,0.0,0.0
27,203081.0,7.3,39.9,8.9,23.1,9.9,29.7,8.8,27.4,16.6,53.800000000000004,35.0,40.0,59.5,56.699999999999996,54.800000000000004,63.5,54.2,29.4,15.4,36.4,36.8,0.0,25.0
28,203471.0,18.4,31.4,9.4,15.1,17.3,35.1,35.1,85.3,49.2,45.5,35.4,36.4,66.7,0.0,75.0,57.199999999999996,32.800000000000004,37.5,62.5,25.8,32.9,0.0,44.4
29,1628984.0,6.1,58.2,11.3,16.6,15.9,19.0,29.3,53.2,43.8,46.300000000000004,37.7,44.3,57.49999999999999,0.0,36.4,61.8,47.099999999999994,44.0,44.7,25.0,37.1,0.0,36.1
30,1628415.0,14.2,39.3,16.9,14.3,12.5,32.3,53.8,88.3,66.2,0.0,25.0,21.4,100.0,0.0,0.0,40.0,0.0,16.7,0.0,100.0,33.300000000000004,0.0,33.300000000000004
31,1629130.0,0.9,84.1,9.3,5.9,12.5,9.1,82.4,95.3,93.3,56.8,41.099999999999994,29.099999999999998,65.2,45.2,56.00000000000001,70.7,44.4,22.3,0.0,25.0,20.0,0.0,12.5
32,203095.0,11.7,42.9,10.0,15.3,16.1,30.2,43.1,80.6,58.3,40.0,40.8,39.1,85.7,0.0,72.2,70.7,20.0,100.0,42.9,47.3,37.9,0.0,45.1
33,1627788.0,7.4,61.0,14.1,7.2,15.7,24.4,70.7,99.0,86.6,50.2,33.300000000000004,22.5,67.80000000000001,50.0,54.1,68.0,34.1,25.0,50.0,100.0,0.0,0.0,66.7
34,203084.0,3.6,27.2,7.0,21.7,15.6,47.5,50.5,87.3,60.1,100.0,25.0,25.0,55.2,64.3,49.0,68.4,26.3,18.2,0.0,0.0,0.0,0.0,0.0
35,1627751.0,2.7,0.0,9.6,11.6,11.3,85.6,73.6,0.0,73.6,47.099999999999994,22.7,24.3,39.1,52.2,80.0,54.900000000000006,25.0,20.0,20.0,10.0,26.400000000000002,0.0,16.0
36,203924.0,5.2,35.9,8.4,16.9,14.8,42.0,77.8,100.0,85.3,0.0,35.9,40.0,70.19999999999999,41.0,44.0,77.60000000000001,40.699999999999996,35.699999999999996,0.0,100.0,18.8,0.0,100.0
37,204060.0,3.0,59.8,11.4,10.3,17.2,26.9,35.8,63.0,51.3,54.1,36.4,43.6,47.699999999999996,47.5,63.6,60.0,47.9,38.6,52.2,25.0,34.0,0.0,41.0
