,PLAYER_ID,PCT_STL,PCT_BLK,DEF_WS,postupdefense Poss,postupdefense PPP,Defense UnderRim OPPFGPCT,Defense <5ft OPPFGPCT,Defense 5-9ft OPPFGPCT,Defense 10-14ft OPPFGPCT,Defense 15-19ft OPPFGPCT,Defense 20-24ft OPPFGPCT,Defense 25-29ft OPPFGPCT,Defense 30-34ft OPPFGPCT,Defense 35-39ft OPPFGPCT,Defense 40+ft OPPFGPCT
42,1628970.0,15.7,30.4,4.3,0.5,0.93,0.715,0.651,0.412,0.457,0.447,0.435,0.383,0.391,0.0,0.1
43,1626149.0,16.5,39.800000000000004,10.9,1.2,1.09,0.545,0.587,0.349,0.398,0.411,0.397,0.353,0.667,0.5,0.1
44,202357.0,20.4,23.5,6.3,1.3,1.04,0.667,0.612,0.358,0.373,0.394,0.404,0.38,0.333,0.0,0.0
45,,,,,0.5,0.64,0.623,0.602,0.403,0.416,0.402,0.417,0.333,0.278,0.0,0.0
46,200782.0,17.7,13.3,9.9,1.0,0.89,0.788,0.68,0.447,0.633,0.534,0.357,0.364,0.167,0.0,0.0
47,201988.0,22.5,3.2,6.7,0.4,0.96,0.25,0.522,0.25,0.5,0.333,0.286,0.313,,,0.0
48,1626220.0,22.7,18.9,9.9,0.9,0.96,0.467,0.526,0.383,0.38,0.389,0.376,0.356,0.438,0.0,0.0
49,201152.0,26.400000000000002,17.299999999999997,8.0,0.0,0.0,0.665,0.62,0.405,0.484,0.415,0.373,0.351,0.438,0.0,0.0
50,1626168.0,14.099999999999998,23.7,3.0,0.6,1.03,0.585,0.579,0.366,0.467,0.458,0.447,0.346,0.0,0.0,0.0
51,1626145.0,26.200000000000003,3.9,5.5,0.3,0.86,0.673,0.635,0.408,0.402,0.316,0.377,0.314,0.4,0.0,0.0
52,1627732.0,33.5,14.7,12.2,0.5,0.86,0.731,0.632,0.384,0.45,0.415,0.438,0.376,0.143,0.0,0.0
53,202711.0,13.900000000000002,4.2,10.5,0.8,1.05,0.736,0.655,0.406,0.433,0.422,0.367,0.353,0.316,0.0,0.067
54,202954.0,27.0,8.799999999999999,7.8,0.3,0.67,0.718,0.586,0.368,0.424,0.399,0.399,0.375,0.25,0.0,0.0
55,1626174.0,17.4,41.199999999999996,6.4,0.8,0.79,0.462,0.545,0.514,0.571,0.68,0.444,0.347,1.0,0.0,0.0
56,1629647.0,13.900000000000002,31.3,9.3,0.5,0.9,0.548,0.584,0.388,0.488,0.394,0.296,0.347,0.333,0.5,0.0
57,1629636.0,17.599999999999998,3.4000000000000004,4.5,0.4,1.0,0.686,0.654,0.388,0.424,0.406,0.44,0.35,0.333,0.0,0.0
58,1629631.0,13.600000000000001,8.9,4.9,0.6,1.19,0.669,0.634,0.401,0.444,0.378,0.349,0.371,0.286,0.333,0.0
59,1626153.0,39.5,13.8,6.0,0.4,1.04,0.69,0.608,0.443,0.356,0.384,0.378,0.38,0.222,0.0,0.0
60,1628378.0,23.599999999999998,7.3999999999999995,10.4,0.4,1.27,0.647,0.527,0.378,0.469,0.28,0.41,0.333,0.0,0.0,0.0
61,2730.0,14.399999999999999,52.300000000000004,6.800000000000001,0.3,0.75,0.692,0.611,0.45,0.412,0.405,0.403,0.335,0.333,0.0,0.0
62,202397.0,19.8,17.5,4.3999999999999995,0.3,1.07,0.703,0.586,0.377,0.402,0.409,0.397,0.391,0.053,0.0,0.0
63,1628386.0,16.5,51.1,7.1,0.9,0.91,0.762,0.653,0.308,0.382,0.409,0.313,0.302,0.0,0.0,0.0
64,203903.0,20.1,12.4,5.6000000000000005,0.0,0.0,0.718,0.666,0.429,0.41,0.444,0.4,0.355,0.344,0.5,0.0
65,203944.0,15.1,11.600000000000001,7.000000000000001,0.9,0.77,0.75,0.687,0.423,0.5,0.422,0.42,0.289,0.286,0.0,0.0
66,1626162.0,22.3,24.8,8.6,0.5,1.35,1.0,0.721,0.667,0.0,0.0,0.385,0.52,0.0,0.0,0.0
67,203484.0,18.9,5.800000000000001,8.799999999999999,0.6,1.09,0.5,0.579,0.0,0.0,0.2,0.091,0.444,0.0,,0.5
68,203915.0,17.0,11.5,8.6,0.8,1.05,0.667,0.619,0.333,0.429,0.667,0.333,0.474,1.0,0.0,0.0
