,pnrmID,PLAYER_NAME,PickNRollMan percent Poss ,PickNRollMan PPP,PickNRollMan FG PCT,PickNRollMan percent ScorePoss,PickNRollMan Poss,PickNRollMan FGM,PickNRollMan FGA
194,200768,Kyle Lowry,0.017,0.684,0.267,0.263,0.3,0.1,0.3
195,1628403,Caleb Swanigan,0.134,1.091,0.667,0.545,0.6,0.3,0.5
196,1627936,Alex Caruso,0.034,0.846,0.455,0.385,0.2,0.1,0.2
197,200757,Thabo Sefolosha,0.091,1.0,0.444,0.5,0.2,0.1,0.2
198,1627741,Buddy Hield,0.01,0.714,0.308,0.286,0.2,0.1,0.2
199,1626220,Royce O'Neale,0.04,0.556,0.286,0.222,0.3,0.1,0.2
200,1628382,Justin Jackson,0.029,0.818,0.3,0.364,0.2,0.0,0.2
201,1628969,Mikal Bridges,0.021,0.692,0.429,0.385,0.2,0.0,0.1
202,202330,Gordon Hayward,0.02,0.529,0.188,0.235,0.3,0.1,0.3
203,203484,Kentavious Caldwell-Pope,0.02,0.667,0.364,0.333,0.2,0.1,0.2
204,202334,Ed Davis,0.215,0.571,0.364,0.286,0.5,0.1,0.4
205,1626164,Devin Booker,0.008,0.571,0.25,0.214,0.2,0.0,0.2
206,202694,Marcus Morris Sr.,0.013,0.7,0.333,0.3,0.2,0.1,0.2
207,1626172,Kevon Looney,0.106,0.7,0.3,0.3,0.5,0.2,0.5
208,1628370,Malik Monk,0.02,0.583,0.25,0.25,0.2,0.1,0.2
209,1629066,Rodions Kurucs,0.05,0.583,0.25,0.25,0.3,0.0,0.2
210,1628390,Terrance Ferguson,0.038,0.6,0.25,0.3,0.2,0.0,0.1
211,1626192,Pat Connaughton,0.027,0.5,0.25,0.2,0.1,0.0,0.1
212,101150,Lou Williams,0.008,0.5,0.2,0.2,0.2,0.0,0.2
213,203903,Jordan Clarkson,0.016,0.5,0.333,0.2,0.2,0.0,0.1
